"","fm_1","fm_2","fm_3","m_4","m_5","m_6"
"WBGene00004429",51,66,66,32,54,48
"WBGene00021687",1,0,0,1,0,0
"WBGene00001816",1,0,1,0,1,0
"WBGene00004880",3,3,6,10,9,4
"WBGene00021686",6,4,9,6,6,2
"WBGene00021685",7,10,4,10,4,9
"WBGene00195068",0,0,0,0,0,0
"WBGene00021690",0,0,0,0,0,0
"WBGene00021691",4,8,0,6,3,6
"WBGene00021692",0,1,0,1,0,0
"WBGene00001707",0,0,0,0,1,2
"WBGene00271777",0,0,0,0,0,0
"WBGene00021693",0,0,0,0,0,0
"WBGene00021694",0,0,0,0,0,1
"WBGene00003400",2,3,0,5,3,2
"WBGene00044896",0,0,0,1,0,0
"WBGene00019674",0,0,0,0,0,0
"WBGene00045052",0,0,0,1,0,0
"WBGene00045053",0,0,0,0,0,1
"WBGene00004888",18,15,7,5,3,3
"WBGene00019673",8,5,5,5,3,7
"WBGene00022363",1,3,3,4,2,3
"WBGene00022366",2,0,1,3,0,1
"WBGene00303097",0,0,0,0,0,0
"WBGene00305050",0,0,0,1,0,0
"WBGene00022365",1,1,0,0,0,0
"WBGene00022367",0,0,0,0,0,0
"WBGene00022372",2,1,1,1,1,0
"WBGene00022371",2,0,0,0,0,1
"WBGene00022368",1,3,1,1,3,0
"WBGene00022369",13,12,7,5,7,6
"WBGene00022373",1,1,2,1,1,1
"WBGene00018159",0,3,1,0,1,2
"WBGene00004969",0,0,1,27,16,18
"WBGene00001773",0,0,0,0,0,0
"WBGene00018580",0,0,0,2,3,3
"WBGene00018579",0,0,0,0,0,1
"WBGene00001115",0,0,0,0,0,0
"WBGene00022361",5,3,5,2,0,3
"WBGene00022360",1,1,2,0,1,1
"WBGene00022358",1,1,1,7,2,4
"WBGene00005077",3,5,6,0,2,1
"WBGene00022270",0,0,0,1,1,0
"WBGene00022271",0,0,0,1,2,0
"WBGene00022269",1,2,0,0,0,1
"WBGene00022273",0,2,1,1,0,0
"WBGene00044440",2,2,5,1,1,0
